Date,Open,High,Low,Close,Adj Close,Volume
2014-01-09,3.760000,3.830000,3.740000,3.790000,3.743851,100438700
2014-01-10,3.820000,3.820000,3.690000,3.700000,3.654947,201482400
2014-01-13,3.760000,3.760000,3.650000,3.670000,3.625313,110845100
2014-01-14,3.680000,3.700000,3.640000,3.670000,3.625313,104799900
2014-01-15,3.680000,3.700000,3.650000,3.690000,3.645069,61238000
2014-01-16,3.680000,3.720000,3.670000,3.670000,3.625313,47650500
2014-01-17,3.670000,3.730000,3.670000,3.720000,3.674704,55527300
2014-01-21,3.750000,3.750000,3.690000,3.710000,3.664825,35947600
2014-01-22,3.720000,3.740000,3.690000,3.740000,3.694460,33268300
2014-01-23,3.710000,3.720000,3.690000,3.720000,3.674704,30694800
2014-01-24,3.700000,3.700000,3.620000,3.640000,3.595678,59172800
2014-01-27,3.650000,3.660000,3.580000,3.660000,3.615434,54981400
2014-01-28,3.650000,3.670000,3.600000,3.630000,3.585800,68145800
2014-01-29,3.590000,3.660000,3.570000,3.590000,3.546287,68263400
2014-01-30,3.600000,3.630000,3.580000,3.600000,3.556165,42457900
2014-01-31,3.550000,3.600000,3.520000,3.580000,3.536408,32772900
2014-02-03,3.590000,3.620000,3.470000,3.550000,3.506773,77592800
2014-02-04,3.500000,3.550000,3.460000,3.520000,3.477139,64691400
2014-02-05,3.480000,3.500000,3.350000,3.430000,3.388235,118877100
2014-02-06,3.420000,3.480000,3.420000,3.450000,3.407991,50592300
2014-02-07,3.460000,3.500000,3.440000,3.490000,3.447504,42504800
2014-02-10,3.480000,3.510000,3.470000,3.490000,3.447504,38481000
2014-02-11,3.500000,3.580000,3.490000,3.570000,3.526530,52015100
2014-02-12,3.590000,3.610000,3.520000,3.560000,3.516652,29243500
2014-02-13,3.420000,3.540000,3.420000,3.510000,3.467261,143285300
2014-02-14,3.500000,3.570000,3.490000,3.560000,3.516652,49262800
2014-02-18,3.560000,3.580000,3.550000,3.580000,3.536408,18755200
2014-02-19,3.560000,3.580000,3.550000,3.570000,3.526530,39249700
2014-02-20,3.560000,3.610000,3.550000,3.600000,3.556165,41190000
2014-02-21,3.610000,3.610000,3.570000,3.610000,3.566043,29326100
2014-02-24,3.610000,3.620000,3.570000,3.590000,3.546287,48424800
2014-02-25,3.590000,3.610000,3.560000,3.580000,3.536408,28739100
2014-02-26,3.590000,3.590000,3.560000,3.570000,3.526530,28302300
2014-02-27,3.560000,3.620000,3.560000,3.610000,3.566043,34263100
2014-02-28,3.620000,3.630000,3.600000,3.610000,3.566043,31887900
2014-03-03,3.590000,3.610000,3.560000,3.570000,3.526530,22844200
